Model,Item,Item #,Consensus bucket,Human top1 p,R1 JSD,R1 TVD,R1 Top1 match,R1 Flip,R1 Spearman,EN succ,ZH succ
MiniMax-M2.7,study2_item_12,12,low,0.3,0.0222268510889253,0.0799999999999999,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
MiniMax-M2.7,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_03,3,medium,0.36,0.8163687368112238,0.8999999999999999,0,1.0,-1.0,50.0,50.0
deepseek-v3.2,study2_item_04,4,low,0.24,0.1691948551010541,0.3,1,0.0,0.8660254037844387,50.0,50.0
deepseek-v3.2,study2_item_05,5,medium,0.64,0.2224504487707475,0.38,1,0.0,0.8660254037844387,50.0,50.0
deepseek-v3.2,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_08,8,low,0.33,0.1691948551010541,0.3,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_09,9,medium,0.48,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_11,11,medium,0.56,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_12,12,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3.2,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_03,3,medium,0.36,0.7293467828865312,0.78,0,1.0,-1.0,50.0,50.0
deepseek-v3,study2_item_04,4,low,0.24,0.1821188257783191,0.3199999999999999,1,0.0,0.8660254037844387,50.0,50.0
deepseek-v3,study2_item_05,5,medium,0.64,0.2803220841364248,0.4599999999999999,1,0.0,0.8660254037844387,50.0,50.0
deepseek-v3,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_08,8,low,0.33,0.1565134063627906,0.28,1,0.0,,50.0,50.0
deepseek-v3,study2_item_09,9,medium,0.48,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_11,11,medium,0.56,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_12,12,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
deepseek-v3,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
gemini-2.5-flash,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,49.0,49.0
gemini-2.5-flash,study2_item_02,2,low,0.3,0.1736807877636214,0.4041666666666667,1,0.0,0.3999999999999999,40.0,48.0
gemini-2.5-flash,study2_item_03,3,medium,0.36,0.1360776639050252,0.4273170731707316,0,1.0,,50.0,41.0
gemini-2.5-flash,study2_item_04,4,low,0.24,0.1682123938064358,0.3518189884649512,1,0.0,0.6842105263157895,49.0,46.0
gemini-2.5-flash,study2_item_05,5,medium,0.64,0.0022615443504111,0.0503084954912197,1,0.0,,49.0,43.0
gemini-2.5-flash,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,49.0
gemini-2.5-flash,study2_item_07,7,low,0.28,0.0202944480006132,0.04,1,0.0,1.0,50.0,50.0
gemini-2.5-flash,study2_item_08,8,low,0.33,0.0,0.0,1,0.0,,50.0,49.0
gemini-2.5-flash,study2_item_09,9,medium,0.48,0.0422259414703151,0.0444444444444444,1,0.0,0.5,50.0,45.0
gemini-2.5-flash,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,49.0,49.0
gemini-2.5-flash,study2_item_11,11,medium,0.56,0.49768066742656,0.7725340136054422,0,1.0,0.7378647873726218,49.0,48.0
gemini-2.5-flash,study2_item_12,12,low,0.3,0.2276177058178257,0.4283333333333333,0,1.0,0.7826237921249264,48.0,50.0
gemini-2.5-flash,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
gemini-2.5-flash,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,42.0,50.0
gemini-2.5-flash,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,47.0,50.0
glm-4-airx,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_02,2,low,0.3,0.3713588445848839,0.56,1,0.0,0.1714985851425088,50.0,50.0
glm-4-airx,study2_item_03,3,medium,0.36,0.4891223132141432,0.68,0,1.0,-0.2584539010584518,50.0,50.0
glm-4-airx,study2_item_04,4,low,0.24,0.7261533520592253,0.88,0,1.0,-0.5,50.0,50.0
glm-4-airx,study2_item_05,5,medium,0.64,0.1189294018528895,0.4,0,1.0,,50.0,50.0
glm-4-airx,study2_item_06,6,medium,0.44,0.1049570947179386,0.2199999999999999,1,0.0,1.0,50.0,50.0
glm-4-airx,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_08,8,low,0.33,0.1105507373966055,0.24,1,0.0,1.0,50.0,50.0
glm-4-airx,study2_item_09,9,medium,0.48,0.062764486510794,0.12,1,0.0,,50.0,50.0
glm-4-airx,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_11,11,medium,0.56,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_12,12,low,0.3,0.0850244128819899,0.16,1,0.0,,50.0,50.0
glm-4-airx,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
glm-4-airx,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_02,2,low,0.3,0.496040092889972,0.7,0,1.0,-0.316227766016838,50.0,50.0
glm-4-flashx-250414,study2_item_03,3,medium,0.36,0.3976523219511789,0.5800000000000001,0,1.0,-0.0733975843417573,50.0,50.0
glm-4-flashx-250414,study2_item_04,4,low,0.24,0.2956252447857888,0.48,1,0.0,0.2022599587389726,50.0,50.0
glm-4-flashx-250414,study2_item_05,5,medium,0.64,0.3558263721638341,0.46,1,0.0,0.5,50.0,50.0
glm-4-flashx-250414,study2_item_06,6,medium,0.44,0.1188101258978178,0.24,1,0.0,0.5,50.0,50.0
glm-4-flashx-250414,study2_item_07,7,low,0.28,0.0327516780070698,0.1399999999999999,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_08,8,low,0.33,0.1821188257783191,0.3199999999999999,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_09,9,medium,0.48,0.2094662039264933,0.36,1,0.0,0.316227766016838,50.0,50.0
glm-4-flashx-250414,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_11,11,medium,0.56,0.9289911704818996,0.98,0,1.0,,50.0,50.0
glm-4-flashx-250414,study2_item_12,12,low,0.3,0.134793778611062,0.2999999999999999,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_14,14,high,0.74,0.0202944480006132,0.04,1,0.0,,50.0,50.0
glm-4-flashx-250414,study2_item_15,15,high,0.88,0.0300845187162896,0.1799999999999999,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_02,2,low,0.3,0.414152447264707,0.62,0,1.0,,50.0,50.0
gpt-4o-mini,study2_item_03,3,medium,0.36,0.4071183658159944,0.6399999999999999,0,1.0,-0.5,50.0,50.0
gpt-4o-mini,study2_item_04,4,low,0.24,0.0015284029975106,0.02,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_05,5,medium,0.64,0.0985779837288689,0.3199999999999999,1,0.0,1.0,50.0,50.0
gpt-4o-mini,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_08,8,low,0.33,0.0100728646250009,0.02,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_09,9,medium,0.48,0.0182323705099123,0.0599999999999999,1,0.0,1.0,50.0,50.0
gpt-4o-mini,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_11,11,medium,0.56,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_12,12,low,0.3,0.0132174297886717,0.0599999999999999,1,0.0,1.0,50.0,50.0
gpt-4o-mini,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
gpt-4o-mini,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_02,2,low,0.3,0.3437754167980626,0.54,0,1.0,0.0,50.0,50.0
gpt-5.4-mini,study2_item_03,3,medium,0.36,0.6273395441755125,0.82,0,1.0,-0.054554472558998,50.0,50.0
gpt-5.4-mini,study2_item_04,4,low,0.24,0.3761088174201359,0.5599999999999999,0,1.0,0.3441236008058426,50.0,50.0
gpt-5.4-mini,study2_item_05,5,medium,0.64,0.0101182589891262,0.02,1,0.0,1.0,50.0,50.0
gpt-5.4-mini,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_08,8,low,0.33,0.0100728646250009,0.02,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_09,9,medium,0.48,0.1441170617806681,0.24,1,0.0,0.3590924232298039,50.0,50.0
gpt-5.4-mini,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_11,11,medium,0.56,0.1527619042708669,0.3799999999999999,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_12,12,low,0.3,0.0123533104686305,0.06,1,0.0,0.8660254037844387,50.0,50.0
gpt-5.4-mini,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_14,14,high,0.74,0.0100728646250009,0.02,1,0.0,,50.0,50.0
gpt-5.4-mini,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,80.0,50.0
gpt-5.4 (main),study2_item_03,3,medium,0.36,0.0100728646250009,0.02,1,0.0,,80.0,50.0
gpt-5.4 (main),study2_item_04,4,low,0.24,1.0,1.0,0,1.0,-0.888888888888889,80.0,50.0
gpt-5.4 (main),study2_item_05,5,medium,0.64,0.0306693982543381,0.06,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_08,8,low,0.33,0.9289911704818996,0.98,0,1.0,-0.8660254037844387,50.0,50.0
gpt-5.4 (main),study2_item_09,9,medium,0.48,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_11,11,medium,0.56,0.8336791289905013,0.94,0,1.0,,50.0,50.0
gpt-5.4 (main),study2_item_12,12,low,0.3,0.0306693982543381,0.06,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (main),study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_03,3,medium,0.36,0.062764486510794,0.12,1,0.0,0.8660254037844387,50.0,50.0
gpt-5.4 (round2-upload),study2_item_04,4,low,0.24,0.715153158564267,0.8999999999999999,0,1.0,-0.8660254037844387,50.0,50.0
gpt-5.4 (round2-upload),study2_item_05,5,medium,0.64,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_08,8,low,0.33,0.0306693982543381,0.06,1,0.0,0.8660254037844387,50.0,50.0
gpt-5.4 (round2-upload),study2_item_09,9,medium,0.48,0.0562083390057989,0.1799999999999999,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_11,11,medium,0.56,0.0051213492085783,0.06,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_12,12,low,0.3,0.1080315461456001,0.1999999999999999,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
gpt-5.4 (round2-upload),study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_02,2,low,0.3,0.0412025939812784,0.0799999999999999,1,0.0,1.0,50.0,50.0
kimi-for-coding,study2_item_03,3,medium,0.36,0.1821188257783191,0.3199999999999999,1,0.0,0.6956083436402525,50.0,50.0
kimi-for-coding,study2_item_04,4,low,0.24,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_05,5,medium,0.64,0.1987202841742283,0.4,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_08,8,low,0.33,0.059843108683351,0.16,1,0.0,1.0,50.0,50.0
kimi-for-coding,study2_item_09,9,medium,0.48,0.253184764193558,0.5599999999999999,0,1.0,0.5,50.0,50.0
kimi-for-coding,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_11,11,medium,0.56,0.4858265387806776,0.76,0,1.0,,50.0,50.0
kimi-for-coding,study2_item_12,12,low,0.3,0.0738042450787954,0.14,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
kimi-for-coding,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_02,2,low,0.3,0.0964312941999631,0.18,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_03,3,medium,0.36,0.1073364885360575,0.24,1,0.0,0.5216720300383332,50.0,50.0
mimo-v2-omni,study2_item_04,4,low,0.24,0.062764486510794,0.12,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_05,5,medium,0.64,0.0226005008249647,0.08,1,0.0,1.0,50.0,50.0
mimo-v2-omni,study2_item_06,6,medium,0.44,0.0100728646250009,0.02,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_07,7,low,0.28,0.0202944480006132,0.04,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_08,8,low,0.33,0.0251317916434584,0.0799999999999999,1,0.0,1.0,50.0,50.0
mimo-v2-omni,study2_item_09,9,medium,0.48,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_11,11,medium,0.56,0.2020096406957233,0.5,0,1.0,0.5,50.0,50.0
mimo-v2-omni,study2_item_12,12,low,0.3,0.0100728646250009,0.02,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-omni,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_02,2,low,0.3,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_03,3,medium,0.36,0.1288262650620854,0.26,1,0.0,0.5698028822981897,50.0,50.0
mimo-v2-pro,study2_item_04,4,low,0.24,0.0100728646250009,0.02,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_05,5,medium,0.64,0.0307036933059005,0.06,1,0.0,1.0,50.0,50.0
mimo-v2-pro,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_08,8,low,0.33,0.02,0.02,1,0.0,0.5,50.0,50.0
mimo-v2-pro,study2_item_09,9,medium,0.48,0.0726852338347938,0.16,1,0.0,0.5,50.0,50.0
mimo-v2-pro,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_11,11,medium,0.56,0.0100728646250009,0.02,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_12,12,low,0.3,0.0202944480006132,0.04,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_13,13,high,0.83,0.0078494582342662,0.04,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
mimo-v2-pro,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_02,2,low,0.3,0.0202944480006132,0.04,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_03,3,medium,0.36,0.471354195546718,0.62,0,1.0,-0.0943564195120496,50.0,50.0
qwen3.5-plus,study2_item_04,4,low,0.24,1.0,1.0,0,1.0,-0.8660254037844387,50.0,50.0
qwen3.5-plus,study2_item_05,5,medium,0.64,0.0784230535295407,0.24,1,0.0,1.0,50.0,50.0
qwen3.5-plus,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_07,7,low,0.28,0.0202944480006132,0.04,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_08,8,low,0.33,0.1500848663719349,0.16,1,0.0,0.316227766016838,50.0,50.0
qwen3.5-plus,study2_item_09,9,medium,0.48,0.265220736549466,0.5800000000000001,0,1.0,0.5,50.0,50.0
qwen3.5-plus,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_11,11,medium,0.56,0.6364619458936842,0.8200000000000001,0,1.0,,50.0,50.0
qwen3.5-plus,study2_item_12,12,low,0.3,0.062764486510794,0.12,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_13,13,high,0.83,0.0100728646250009,0.02,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
qwen3.5-plus,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_01,1,high,0.9,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_02,2,low,0.3,0.0306693982543381,0.06,1,0.0,1.0,50.0,50.0
qwen3.6-plus,study2_item_03,3,medium,0.36,0.1565134063627906,0.28,1,0.0,0.7071067811865475,50.0,50.0
qwen3.6-plus,study2_item_04,4,low,0.24,0.02,0.02,1,0.0,0.5,50.0,50.0
qwen3.6-plus,study2_item_05,5,medium,0.64,0.1565134063627906,0.28,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_06,6,medium,0.44,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_07,7,low,0.28,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_08,8,low,0.33,0.0738042450787954,0.14,1,0.0,0.7745966692414834,50.0,50.0
qwen3.6-plus,study2_item_09,9,medium,0.48,0.1094241396946089,0.36,0,1.0,0.5,50.0,50.0
qwen3.6-plus,study2_item_10,10,high,0.92,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_11,11,medium,0.56,0.2958073480446818,0.6000000000000001,0,1.0,,50.0,50.0
qwen3.6-plus,study2_item_12,12,low,0.3,0.0518991603213155,0.0999999999999999,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_13,13,high,0.83,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_14,14,high,0.74,0.0,0.0,1,0.0,,50.0,50.0
qwen3.6-plus,study2_item_15,15,high,0.88,0.0,0.0,1,0.0,,50.0,50.0
